Menu,Price,Rating,Review,Category
Coca-Cola 1L,3.5,4.7,326.0,Bebida
Coca-Cola Zero 1L,3.5,4.7,326.0,Bebida
Coca-Cola Zero 33cl,2.0,4.7,326.0,Bebida
Coca-Cola 30cl,2.0,4.2,83.0,Bebida
Coca-Cola Zero 30cl,2.0,4.2,83.0,Bebida
Coca-Cola Zero,2.25,4.7,134.0,Bebida
Coca-Cola,2.25,4.7,134.0,Bebida
Coca-Cola,2.0,4.6,29.0,Bebida
Coca-Cola Zero,2.0,4.6,29.0,Bebida
Coca-Cola Zero,2.5,4.3,397.0,Bebida
Coca-Cola,2.5,4.3,397.0,Bebida
Coca-Cola 33cl,2.2,4.5,4790.0,Bebida
Coca-Cola,2.5,4.3,128.0,Bebida
Coca-Cola,2.3,4.7,199.0,Bebida
Coca-Cola Zero,2.3,4.7,199.0,Bebida
Coca-Cola,1.5,4.1,49.0,Bebida
Coca-Cola Zero 33cl,2.0,4.5,25.0,Bebida
Coca-Cola 1.5L,3.4,4.5,25.0,Bebida
Coca-Cola,1.9,4.6,201.0,Bebida
Coca-Cola 35cl,2.7,4.7,312.0,Bebida
Coca-Cola 1.5L,3.5,4.5,890.0,Bebida
Coca-Cola 33cl,1.99,4.5,890.0,Bebida
Coca-Cola Zero 33cl,1.99,4.5,890.0,Bebida
Coca-Cola Zero 1.5L,3.5,4.5,890.0,Bebida
Coca-Cola Zero 33cl,2.9,4.6,870.0,Bebida
Coca-Cola 33cl,2.9,4.6,870.0,Bebida
Coca-Cola 1L,5.0,4.6,870.0,Bebida
Coca-Cola Zero 1L,5.0,4.6,870.0,Bebida
Coca-Cola,1.9,4.8,2130.0,Bebida
Coca-Cola,2.4,4.5,352.0,Bebida
Coca-Cola Sem Açúcar,1.8,4.5,352.0,Bebida
Coca-Cola 1.5L,3.5,4.4,740.0,Bebida
Coca-Cola,1.8,4.4,740.0,Bebida
Coca-Cola 1L,3.0,4.4,740.0,Bebida
Coca-Cola Zero,1.8,4.4,740.0,Bebida
Coca-Cola Zero 2L,3.99,4.4,740.0,Bebida
Coca-Cola 1.5L,5.2,4.7,1040.0,Bebida
Coca-Cola Zero 1.5L,5.2,4.7,1040.0,Bebida
Coca-Cola 30cl,2.6,4.7,1040.0,Bebida
Coca-Cola Zero 30cl,2.6,4.7,1040.0,Bebida
Coca-Cola Zero 1.5L,3.3,4.6,5840.0,Bebida
Coca-Cola 1.5L,3.3,4.6,5840.0,Bebida
Coca-Cola Zero,2.0,4.6,5840.0,Bebida
Coca-Cola,2.0,4.6,5840.0,Bebida
Coca-Cola,1.3,4.8,200.0,Bebida
Coca-Cola Zero,2.5,4.5,94.0,Bebida
Coca-Cola,2.5,4.5,94.0,Bebida
Coca-Cola,2.2,4.6,1280.0,Bebida
Coca-Cola Zero,2.2,4.6,1280.0,Bebida
Coca-Cola,1.99,4.7,830.0,Bebida
Coca-Cola Zero,1.99,4.7,830.0,Bebida
Coca-Cola,1.5,4.1,183.0,Bebida
Coca-Cola Zero,1.5,4.1,183.0,Bebida
Coca-Cola,2.95,4.7,1020.0,Bebida
Coca-Cola Zero,2.95,4.7,1020.0,Bebida
Coca-Cola,3.0,4.7,930.0,Bebida
Coca-Cola Zero,3.0,4.7,930.0,Bebida
Coca-Cola,2.5,4.7,2560.0,Bebida
Coca-Cola Zero,2.5,4.7,2560.0,Bebida
Coca-Cola,3.05,4.7,7170.0,Bebida
Coca-Cola Zero,3.05,4.7,7170.0,Bebida
Coca-Cola 1L,3.75,4.5,3360.0,Bebida
Coca-Cola 33cl,2.15,4.5,3360.0,Bebida
Coca-Cola Zero 33cl,2.15,4.5,3360.0,Bebida
Coca-Cola Zero 1L,3.75,4.5,3360.0,Bebida
Coca-Cola Zero,1.99,4.7,438.0,Bebida
Coca-Cola,1.99,4.7,438.0,Bebida
Coca-Cola 33cl,2.5,4.5,3680.0,Bebida
Coca-Cola Zero 33cl,2.5,4.5,3680.0,Bebida
Coca-Cola 33cl,1.8,4.7,99.0,Bebida
Coca-Cola Zero 33cl,1.8,4.7,99.0,Bebida
Coca-Cola Zero,2.5,4.5,940.0,Bebida
Coca-Cola,2.5,4.5,940.0,Bebida
Coca-Cola Zero,1.95,4.7,620.0,Bebida
Coca-Cola,1.95,4.7,620.0,Bebida
Coca-Cola Zero,2.0,4.7,357.0,Bebida
Coca-Cola,2.0,4.7,357.0,Bebida
Coca-Cola,3.0,4.5,90.0,Bebida
Coca-Cola Zero,3.0,4.5,90.0,Bebida
Coca-Cola 33cl,1.5,4.5,34.0,Bebida
Coca-Cola Zero,1.9,4.8,38.0,Bebida
Coca-Cola,1.9,4.8,38.0,Bebida
Coca-Cola Sem Açúcar,2.3,4.8,620.0,Bebida
Coca-Cola,2.3,4.8,620.0,Bebida
Coca-Cola,1.9,4.0,103.0,Bebida
Coca-Cola Zero,1.9,4.0,103.0,Bebida
Coca-Cola 33cl,3.0,4.9,2380.0,Bebida
Coca-Cola Zero 33cl,3.0,4.9,2380.0,Bebida
Coca-Cola,3.2,4.7,2070.0,Bebida
Coca-Cola Zero,3.2,4.7,2070.0,Bebida
Coca-Cola Zero,2.2,4.8,4060.0,Bebida
Coca-Cola,2.2,4.8,4060.0,Bebida
Coca-Cola Zero 30cl,2.5,4.8,1200.0,Bebida
Coca-Cola 30cl,2.5,4.8,1200.0,Bebida
Coca-Cola,1.7,4.3,540.0,Bebida
Coca-Cola Zero,1.7,4.3,540.0,Bebida
